"last_date","OGC_FID","GEOMETRY","licenses_id","scrape_date","licenseno","status","licensetype","issuedate","exprdate","owner","premisesaddress","segments_id","lon","lat","x","y","city","neighborhood","community","council","tract","business","mailaddress","gcquality","gctype"
"2013-07-09T",17,"","","2013-07-09T",9741,"ACTIVE",51,"1965-04-21T","2014-01-31T","SAN DIEGO MISSION BAY BOAT & SKI CL","2606 N MISSION BAY DR, SAN DIEGO, CA  92109",-1,-117.220333221,32.798225652,6263487.90909,1871599.39394,"SndLEM","NONE","NONE","NONE","0076.00","San Diego Mission Bay Boat & Ski Club","",123,"cns/seginterp"
"2013-07-09T",18,"","","2013-07-09T",9839,"ACTIVE",47,"1979-01-05T","2013-09-30T","BENIHANA INTERNATIONAL INC","477 CAMINO DEL RIO S, SAN DIEGO, CA  92108",-1,-136.17877344,25.9454865109,-1.0,-1.0,"SndSOL","NONE","NONE","NONE","0093.04","","8750 NW 36TH ST, STE 300 MIAMI, FL  33178",-1,"NONE"
"2013-07-09T",19,"","","2013-07-09T",10099,"ACTIVE",21,"1975-10-01T","2013-06-30T","THRIFTY PAYLESS INC","8985 MIRA MESA BLVD, SAN DIEGO, CA  92126",-1,-117.130062545,32.91386547,6291582.09813,1913426.90104,"SndDEL","NONE","NONE","NONE","0083.58","Rite Aid Store 5661","2600 CAPITOL AVE, STE 300 SACRAMENTO, CA  95816-5930",0,"cns/address"
"2013-07-09T",20,"","","2013-07-09T",10333,"ACTIVE",52,"1977-11-01T","2014-03-31T","VFW SILVER STRAND POST 5477","123 PALM AVE, IMPERIAL BEACH, CA  91932",-1,-117.046372293,32.5936141411,6316375.5,1796701.33333,"NONE","NONE","NONE","NONE","0102.00","Veterans Of Foreign Wars","",7,"cns/address"
"2013-07-09T",21,"","","2013-07-09T",11470,"ACTIVE",51,"1951-06-15T","2013-10-31T","MOOSE LODGE 1325","2017-19 S COAST HWY, OCEANSIDE, CA  92054",-1,-117.38892226,33.2026930901,6213290.706,2019279.806,"NONE","NONE","SanMIR","NONE","0181.00","Loyal Order Of Moose 1325","2017 S COAST HWY OCEANSIDE, CA  92054",0,"cns/segmid"
"2013-07-09T",22,"","","2013-07-09T",12392,"ACTIVE",51,"1966-10-11T","2014-02-28T","ELKS CLUB OCEANSIDE 1561","444 COUNTRY CLUB LN, OCEANSIDE, CA  92054",-1,-117.364572307,33.1989226832,6220723.96963,2017827.51348,"NONE","NONE","SanSAN","NONE","0185.09","Oceanside Elks Lodge 1561","",0,"cns/address"
"2013-07-09T",23,"","","2013-07-09T",12436,"ACTIVE",47,"1978-01-01T","2013-06-30T","SIMI, ANGELO","7252 BROADWAY, LEMON GROVE, CA  91945",-1,-117.041554165,32.7428688416,6318271.77734,1850994.42066,"NONE","NONE","SanOTM","NONE","0144.00","","",0,"cns/address"
"2013-07-09T",24,"","","2013-07-09T",12439,"ACTIVE",41,"1979-05-07T","2013-09-30T","M & E RESTAURANT CORP","2622 EL CAMINO REAL, STE B, CARLSBAD, CA  92008",-1,-117.230362928,32.977667729,6261019.797,1936914.786,"NONE","NONE","SanNAV","NONE","0198.03","That Pizza Place","",0,"cns/segmid"
"2013-07-09T",25,"","","2013-07-09T",12614,"ACTIVE",51,"1977-03-01T","2014-04-30T","RANCHO BERNARDO GOLF CLUB","12280 GREENS EAST RD, SAN DIEGO, CA  92128",-1,-117.063417421,33.0344585757,6312376.85567,1957137.03336,"NONE","NONE","SanUNV","NONE","0170.15","Country Club Of Rancho Bernardo The","",0,"cns/address"
"2013-07-09T",26,"","","2013-07-09T",12646,"ACTIVE",51,"1963-06-14T","2013-06-30T","ELKS LODGE ENCINITAS 2243","1393 WINDSOR RD, ENCINITAS, CA  92007",-1,-117.27313296,33.0327683741,6248100.69419,1957088.13093,"NONE","NONE","SanCLA","NONE","0174.04","Elks Lodge Encinitas 2243","",5,"cns/address"
"2013-07-09T",27,"","","2013-07-09T",13289,"ACTIVE",47,"1976-03-01T","2013-09-30T","ANTHONYS FISH GROTTO OF LA MESA","1362 N HARBOR DR, SAN DIEGO, CA  92101",-1,-117.173373882,32.7195747611,6277664.47565,1842852.61728,"NONE","NONE","SanTIR","NONE","0054.00","","5575 LAKE PARK WAY, # 211 LA MESA, CA  91942",2,"cns/address"
"2013-07-09T",28,"","","2013-07-09T",13583,"ACTIVE",21,"1970-10-13T","2013-06-30T","VONS COMPANIES INC THE","870 3RD AVE, CHULA VISTA, CA  91911",-1,-136.17877344,25.9454865109,-1.0,-1.0,"NONE","NONE","SanRAN","NONE","0130.00","Vons 3063","PO BOX 29096 PHOENIX, AZ  85038-9096",-1,"NONE"
"2013-07-09T",29,"","","2013-07-09T",14350,"ACTIVE",48,"1974-12-01T","2013-10-31T","SILVIA, BARBARA C","684 TELEGRAPH CANYON RD, CHULA VISTA, CA  91910",-1,-117.031158124,32.62589762,6321149.54021,1808411.84854,"NONE","NONE","SanRNC","NONE","0133.09","Archway Lounge The","",0,"cns/address"
"2013-07-09T",30,"","","2013-07-09T",14813,"ACTIVE",21,"1970-10-19T","2013-06-30T","VONS COMPANIES INC THE","2800 FLETCHER PKWY, EL CAJON, CA  92020",-1,-116.633056591,33.0467854184,6444286.029,1960865.359,"NONE","NONE","SanLAJ","NONE","0161.00","Vons 2064","PO BOX 29096 PHOENIX, AZ  85038-9096",0,"cns/segmid"
"2013-07-09T",31,"","","2013-07-09T",15041,"ACTIVE",51,"1964-01-30T","2014-01-31T","ELKS LODGE VISTA 1968","1947 E VISTA WAY, VISTA, CA  92084",-1,-117.225026578,33.2296808432,6263513.70725,2028590.81263,"NONE","NONE","SanOAT","NONE","0192.07","","",0,"cns/address"
"2013-07-09T",32,"","","2013-07-09T",15089,"ACTIVE",21,"1965-02-25T","2013-06-30T","THRIFTY PAYLESS INC","400 N 2ND ST, EL CAJON, CA  92021",-1,-136.17877344,25.9454865109,-1.0,-1.0,"NONE","NONE","SanPEN","NONE","0157.01","Rite Aid Store 5626","2600 CAPITOL AVE, STE 300 SACRAMENTO, CA  95816-5930",-1,"NONE"
"2013-07-09T",33,"","","2013-07-09T",15367,"ACTIVE",48,"1952-10-10T","2013-07-31T","UNITED PORTUGUESE S E S INC","2818 AVENIDA DE PORTUGAL, SAN DIEGO, CA  92106",-1,-136.17877344,25.9454865109,-1.0,-1.0,"NONE","NONE","SanBLA","NONE","0214.00","","",-1,"NONE"
"2013-07-09T",34,"","","2013-07-09T",16286,"ACTIVE",48,"1972-07-10T","2014-06-30T","AMERICAN LEGION LINDA VISTA POST 731","7245 LINDA VISTA RD, SAN DIEGO, CA  92111",-1,-117.165496363,32.791008767,6280315.51138,1868821.26628,"NONE","NONE","SanSKY","NONE","0088.00","Padre Gold Inc","",0,"cns/address"
"2013-07-09T",35,"","","2013-07-09T",16939,"ACTIVE",51,"1966-11-18T","2013-09-30T","ELKS LODGE CHULA VISTA 2011","901 ELKS LN, CHULA VISTA, CA  91910",-1,-117.034458305,32.6263651947,6320134.71979,1808589.59877,"NONE","NONE","SanCAR","NONE","0133.09","","",0,"cns/address"
"2013-07-09T",36,"","","2013-07-09T",16996,"SUREND",41,"1978-11-06T","2013-06-30T","GARCIA, BERTHA","2752 E 18TH ST, NATIONAL CITY, CA  91950-5302",-1,-117.075400152,32.6750851375,6307669.45455,1826413.0,"NONE","NONE","SanKER","NONE","0121.02","Carnitas La Hacienda Restaurant","38 H ST CHULA VISTA, CA  91910-4920",321,"cns/seginterp"
"2013-07-09T",37,"","","2013-07-09T",17446,"ACTIVE",20,"1977-06-01T","2013-06-30T","PNS STORES INC","1210 BROADWAY, CHULA VISTA, CA  91911",-1,-117.081035209,32.6059178257,6305734.85354,1801261.19221,"NONE","NONE","SanMIS","NONE","0131.03","Big Lots 4027","300 PHILLIPI RD, ATTN TAX DEPT COLUMBUS, OH  43228-5311",0,"cns/address"
"2013-07-09T",38,"","","2013-07-09T",17463,"ACTIVE",20,"1977-06-01T","2013-06-30T","PNS STORES INC","3705 ROSECRANS ST, SAN DIEGO, CA  92110",-1,-117.203501217,32.7514167885,6268504.41057,1854521.14869,"NONE","NONE","SanSCI","NONE","0065.00","Big Lots 4038","300 PHILLIPI RD, ATTN TAX DEPT COLUMBUS, OH  43228-5311",0,"cns/address"
"2013-07-09T",39,"","","2013-07-09T",17482,"ACTIVE",20,"1977-06-01T","2013-06-30T","PNS STORES INC","6145 LAKE MURRAY BLVD, LA MESA, CA  91942",-1,-117.020287441,32.790648067,6324939.38851,1868329.2716,"NONE","NONE","SanENC","NONE","0150.00","Big Lots 4047","300 PHILLIPI RD, ATTN TAX DEPT COLUMBUS, OH  43228-5311",50,"cns/address"
"2013-07-09T",40,"","","2013-07-09T",17811,"ACTIVE",57,"1971-11-15T","2014-01-31T","GERMAN AMERICAN SOCIETIES SAN DIEGO","1017 S MOLLISON AVE, EL CAJON, CA  92020",-1,-116.950346769,32.7798263968,6346407.0,1864240.3485,"NONE","NONE","NONE","NONE","0154.04","German American Societies","",2,"cns/address"
"2013-07-09T",41,"","","2013-07-09T",18236,"ACTIVE",20,"1976-02-10T","2013-06-30T","KAMPGROUND ENTERPRISES INC","111 N 2ND AVE, CHULA VISTA, CA  91910",-1,-136.17877344,25.9454865109,-1.0,-1.0,"NONE","NONE","SanMSS","NONE","0123.03","San Diego Metro Koa","",-1,"NONE"
"2013-07-09T",42,"","","2013-07-09T",18355,"SUREND",21,"1972-09-01T","2013-06-30T","THRIFTY PAYLESS INC","9759 MISSION GORGE RD, SANTEE, CA  92071",-1,-116.983283066,32.8382762009,6336433.37632,1885576.17061,"NONE","NONE","SanMID","NONE","0166.16","Rite Aid 5641","2600 CAPITOL AVE, STE 300 SACRAMENTO, CA  95816-5930",52,"cns/address"
"2013-07-09T",43,"","","2013-07-09T",18362,"ACTIVE",21,"1972-09-01T","2013-06-30T","THRIFTY PAYLESS INC","1135 AVOCADO AVE, EL CAJON, CA  92020",-1,-116.957524941,32.7799418941,6344201.02462,1864297.26632,"NONE","NONE","SanMDC","NONE","0154.03","Rite Aid Store 5625","2600 CAPITOL AVE, STE 300 SACRAMENTO, CA  95816-5930",2,"cns/address"
"2013-07-09T",44,"","","2013-07-09T",18420,"ACTIVE",47,"1971-01-29T","2013-10-31T","JFB CORPORATION","2401 CAMINO DEL RIO S, SAN DIEGO, CA  92108-3701",-1,-136.17877344,25.9454865109,-1.0,-1.0,"NONE","NONE","SanSOT","NONE","0011.00","Bully'S Restaurant","",-1,"NONE"
"2013-07-09T",45,"","","2013-07-09T",18864,"ACTIVE",51,"1978-10-03T","2014-04-30T","POWAY VALLEY BRANCH 70 FLEET RESERV","14231 GARDEN RD 9/10, POWAY, CA  92064",-1,-117.023340289,32.9557709768,6324446.80078,1928414.00191,"NONE","NONE","NONE","NONE","0170.49","Poway Valley Branch 70 Fleet Reserve","",0,"cns/address"
"2013-07-09T",46,"","","2013-07-09T",19253,"ACTIVE",40,"1973-08-08T","2014-03-31T","FLORES, JAMES P","1524 MCKINLEY AVE, NATIONAL CITY, CA  91950",-1,-117.111776301,32.6672711917,6296452.31325,1823660.58051,"NONE","NONE","SanLIN","NONE","0219.00","Cafe Estela","",0,"cns/address"
"2013-07-09T",47,"","","2013-07-09T",21973,"ACTIVE",52,"1974-02-01T","2014-03-31T","AMERICAN LEGION LINDA VISTA POST 73","7245 LINDA VISTA RD 2ND FL, 2ND FL, SAN DIEGO, CA  92111",-1,-117.165496363,32.791008767,6280315.51138,1868821.26628,"NONE","NONE","SanTOR","NONE","0088.00","American Legion Linda Vista Post 731","",0,"cns/address"
"2013-07-09T",48,"","","2013-07-09T",22055,"ACTIVE",21,"1994-01-01T","2013-06-30T","THRIFTY PAYLESS INC","439 SANTA FE DR, ENCINITAS, CA  92024",-1,-117.283237464,33.0353795074,6245013.41883,1958068.6814,"NONE","NONE","NONE","NONE","0174.01","Rite Aid Store 5627","2600 CAPITOL AVE, STE 300 SACRAMENTO, CA  95816-5930",12,"cns/address"
"2013-07-09T",49,"","","2013-07-09T",22526,"ACTIVE",52,"1954-08-23T","2013-06-30T","AMERICAN LEGION CHULA VISTA POST 434","47 5TH AVE, CHULA VISTA, CA  91910",-1,-117.093433684,33.1101735633,6303400.752,1984758.149,"NONE","NONE","SanUPT","NONE","0124.01","American Legion Chula Vista Post 434","",0,"cns/segmid"
"2013-07-09T",50,"","","2013-07-09T",23435,"ACTIVE",21,"1968-03-15T","2013-06-30T","THRIFTY PAYLESS INC","6505 MISSION GORGE RD, SAN DIEGO, CA  92120",-1,-117.096978331,32.7915568416,6301373.67186,1868842.7037,"NONE","NONE","SanPAC","NONE","0096.04","Rite Aid Store 5657","2600 CAPITOL AVE, STE 300 SACRAMENTO, CA  95816-5930",0,"cns/address"
"2013-07-09T",51,"","","2013-07-09T",24095,"ACTIVE",52,"1994-01-01T","2014-05-31T","AMERICAN LEGION ALBERT J HICKMAN PT","7815 ARMOUR ST, SAN DIEGO, CA  92111",-1,-117.154317783,32.8197286427,6283841.46674,1879240.5162,"NONE","NONE","SanPCF","NONE","0085.11","American Legion Albert J Hickman Post 460","",0,"cns/address"
"2013-07-09T",52,"","","2013-07-09T",25836,"ACTIVE",51,"1969-08-11T","2013-06-30T","MOOSE LODGE SAN DIEGO 508","1648 30TH ST, SAN DIEGO, CA  92102",-1,-117.130513714,32.7231635402,6290857.68742,1844044.30183,"NONE","NONE","SanGRE","NONE","0044.00","Moose Lodge San Diego 508","",0,"cns/address"
"2013-07-09T",53,"","","2013-07-09T",25868,"ACTIVE",52,"1965-12-07T","2013-08-31T","AMVETS POST 17","136 CHAMBERS ST, EL CAJON, CA  92020",-1,-116.967057717,32.7959175445,6341311.04087,1870129.82819,"NONE","NONE","SanSER","NONE","0162.02","Veterans Memorial Association","",0,"cns/address"
"2013-07-09T",54,"","","2013-07-09T",26090,"ACTIVE",21,"1980-04-25T","2013-06-30T","THRIFTY PAYLESS INC","955 TAMARACK AVE, CARLSBAD, CA  92008-3414",-1,-117.334441189,33.1521276592,6229763.5214,2000704.68206,"NONE","NONE","SanDEL","NONE","0178.10","Rite Aid Store 5621","2600 CAPITOL AVE, STE 300 SACRAMENTO, CA  95816-5930",4,"cns/address"
"2013-07-09T",55,"","","2013-07-09T",26207,"ACTIVE",51,"1979-05-29T","2013-07-31T","CORONADO SHORES LANDSCAPE & RECREATION COMMITTEE","1768 AVENIDA DEL MUNDO, CORONADO, CA  92118",-1,-136.17877344,25.9454865109,-1.0,-1.0,"NONE","NONE","SanCOL","NONE","0216.00","Beach Club The","1740 AVENIDA DEL MUNDO, ROEDER PAVILION CORONADO, CA  92118",-1,"NONE"
"2013-07-09T",56,"","","2013-07-09T",27357,"ACTIVE",21,"1975-02-01T","2013-06-30T","VONS COMPANIES INC THE","10460 CLAIREMONT MESA BLVD, SAN DIEGO, CA  92124",-1,-117.104312363,32.8301734215,6299234.95381,1882911.1238,"NONE","NONE","SanMRM","NONE","0095.02","Vons 2134","PO BOX 29096 PHOENIX, AZ  85038-9096",0,"cns/address"
"2013-07-09T",57,"","","2013-07-09T",27986,"ACTIVE",40,"1972-10-13T","2013-06-30T","POWAY VALLEY RIDERS ASSOCIATION","14336 TIERRA BONITA RD, POWAY, CA  92064",-1,-117.02768786,32.9738982555,6323162.41482,1935019.30824,"NONE","NONE","SanSNS","NONE","0170.09","Poway Valley Riders Association","PO BOX 77 POWAY, CA  92074",387,"cns/seginterp"
"2013-07-09T",58,"","","2013-07-09T",28087,"ACTIVE",51,"1994-01-01T","2013-07-31T","CORONADO YACHT CLUB","1631 STRAND WAY, CORONADO, CA  92118",-1,-117.174973739,32.6821298005,6277051.55696,1829233.27862,"NONE","NONE","SanSAB","NONE","0216.00","Coronado Yacht Club","",670,"cns/seginterp"
"2013-07-09T",59,"","","2013-07-09T",28138,"ACTIVE",21,"1971-05-26T","2013-08-31T","SHAMOUN, HANI MICHEL","3676 OCEAN VIEW BLVD, SAN DIEGO, CA  92113",-1,-117.115163341,32.7014416608,6295513.12755,1836101.6142,"NONE","NONE","SanCRM","NONE","0035.01","","",0,"cns/address"
"2013-07-09T",60,"","","2013-07-09T",28239,"ACTIVE",47,"1976-04-01T","2013-09-30T","PERILS OF PAULINE FOOD PRODUCTIONS","3768 MISSION BLVD, SAN DIEGO, CA  92109",-1,-117.252433556,32.7839879356,6253574.12429,1866512.61045,"NONE","NONE","SanDOW","NONE","0076.00","Saskas","",3,"cns/address"
"2013-07-09T",61,"","","2013-07-09T",29759,"ACTIVE",50,"1946-04-23T","2013-09-30T","SAN DIEGO YACHT CLUB INC","1011 ANCHORAGE LN, SAN DIEGO YACHT CLUB, SAN DIEGO, CA  92106",-1,-117.230831263,32.7192733641,6259991.77778,1842904.33333,"NONE","NONE","SanTRR","NONE","0071.00","","",393,"cns/seginterp"
"2013-07-09T",62,"","","2013-07-09T",30553,"ACTIVE",57,"1962-03-13T","2014-03-31T","SAN DIEGO COUNTRY CLUB INC","88 L ST, CHULA VISTA, CA  91911",-1,-117.062891296,32.623247185,6311371.63158,1807522.20995,"NONE","NONE","SanBAL","NONE","0131.02","","",446,"cns/seginterp"
"2013-07-09T",63,"","","2013-07-09T",30564,"ACTIVE",52,"1963-02-04T","2014-04-30T","VFW ROBERT H SCHOLER POST 2111","299 I ST, CHULA VISTA, CA  91910",-1,-117.075671771,32.6313373547,6307459.82369,1810496.63214,"NONE","NONE","NONE","NONE","0128.00","Vfw Robert H Scholer Post 2111","",0,"cns/address"
"2013-07-09T",64,"","","2013-07-09T",30838,"ACTIVE",20,"1968-07-01T","2013-08-31T","OCONNORS CHURCH GOODS INC","3720 EL CAJON BLVD, SAN DIEGO, CA  92105",-1,-117.113061165,32.7555694619,6296322.831,1855789.803,"NONE","NONE","SanMII","NONE","0021.00","Oconnors Church Goods","",0,"cns/address"
"2013-07-09T",65,"","","2013-07-09T",32505,"ACTIVE",21,"1975-01-01T","2013-06-30T","VONS COMPANIES INC THE","8310 MIRA MESA BLVD, SAN DIEGO, CA  92126",-1,-117.146661123,32.9134926488,6286487.07733,1913334.65778,"NONE","NONE","SanRES","NONE","0083.57","Vons 2136","PO BOX 29096 PHOENIX, AZ  85038-9096",0,"cns/address"
"2013-07-09T",66,"","","2013-07-09T",32778,"ACTIVE",40,"1976-09-01T","2013-08-31T","CASTILLO, ERNESTINE R","2143 LOGAN AVE, SAN DIEGO, CA  92113",-1,-117.140403524,32.698431847,6287739.22687,1835071.91159,"NONE","NONE","SanMDW","NONE","0050.00","Logan Inn","",0,"cns/address"
"2013-07-09T",67,"","","2013-07-09T",33896,"ACTIVE",52,"1974-08-05T","2013-06-30T","VFW LT FRED LEWIS KENT POST 7907","12342 OLD POMERADO RD, POWAY, CA  92064",-1,-117.06639381,32.9422109941,6311201.89133,1923581.06663,"NONE","NONE","NONE","NONE","0170.42","Vfw Lt Fred L Kent Post 7907","",0,"cns/address"
"2013-07-09T",68,"","","2013-07-09T",34340,"ACTIVE",51,"1966-02-17T","2013-10-31T","FLEET RESERVE ASSN BR 61 SAN DIEGO","288 3RD AVE, CHULA VISTA, CA  91910",-1,-136.17877344,25.9454865109,-1.0,-1.0,"NONE","NONE","SanMDS","NONE","0123.02","Fleet Reserve Assn Br 61 San Diego","",-1,"NONE"
"2013-07-09T",69,"","","2013-07-09T",34891,"ACTIVE",47,"1979-01-30T","2014-01-31T","BRIGANTINE THE","421 W FELICITA AVE, ESCONDIDO, CA  92025",-1,-117.075316627,33.1046986664,6308932.44974,1982721.76817,"NONE","NONE","SanTOE","NONE","0207.07","Brigantine The","7889 OSTROW ST SAN DIEGO, CA  92111-3602",11,"cns/address"
"2013-07-09T",70,"","","2013-07-09T",35423,"ACTIVE",47,"1953-11-17T","2014-03-31T","SHELTER ISLAND INC","2230 SHELTER ISLAND DR, SAN DIEGO, CA  92106",-1,-117.220426473,32.719614539,6263193.04827,1842998.51852,"NONE","NONE","SanFAR","NONE","0071.00","Bali Hai","",0,"cns/address"
"2013-07-09T",71,"","","2013-07-09T",35633,"ACTIVE",21,"1969-10-23T","2013-06-30T","THRIFTY PAYLESS INC","4077 GOVERNOR DR, SAN DIEGO, CA  92122",-1,-117.202509951,32.8541419461,6269150.6177,1891892.98602,"NONE","NONE","SanGRT","NONE","0083.45","Rite Aid Store 5658","2600 CAPITOL AVE, STE 300 SACRAMENTO, CA  95816-5930",0,"cns/address"
"2013-07-09T",72,"","","2013-07-09T",35968,"ACTIVE",51,"1972-05-19T","2013-08-31T","SOUTHWESTERN YACHT CLUB INC","2702 QUALTROUGH ST, SAN DIEGO, CA  92106",-1,-117.2337288,32.7145441304,6259084.37259,1841192.08919,"NONE","NONE","SanOCN","NONE","0071.00","Southwestern Yacht Club","",0,"cns/address"
"2013-07-09T",73,"","","2013-07-09T",36295,"ACTIVE",52,"1964-07-02T","2014-05-31T","VFW KEARNY MESA POST 3788","7785 OTHELLO AVE, SAN DIEGO, CA  92111",-1,-117.155606613,32.8166519396,6283435.79819,1878124.54775,"NONE","NONE","SanBAR","NONE","0085.11","Vfw Kearny Mesa Post 3788","",0,"cns/address"
"2013-07-09T",74,"","","2013-07-09T",37298,"ACTIVE",21,"1975-03-01T","2013-06-30T","VONS COMPANIES INC THE","5630 LAKE MURRAY BLVD, LA MESA, CA  91942",-1,-117.030272973,32.7812441411,6321845.05362,1864930.6011,"NONE","NONE","SanOLD","NONE","0148.04","Vons 2137","PO BOX 29096 PHOENIX, AZ  85038-9096",1,"cns/address"
"2013-07-09T",75,"","","2013-07-09T",38823,"ACTIVE",47,"1973-05-30T","2014-03-31T","SOVA, GERALD H","158 N COAST HIGHWAY 101, ENCINITAS, CA  92024",-1,-117.294280773,33.0493774143,6241680.13087,1963195.27517,"NONE","NONE","SanMSH","NONE","0177.02","Captain Kenos","",412,"cns/seginterp"
